Event Name,Magnitude
UBA : Large Outbound Transfer by High Risk User,10
Apache Struts2 OGNL Remote Code Execution,10
Struts2 OGNL Remote Code Execution Vulnerability,10
CoinMiner Command and Control Traffic Detection,9
EAAF Protection,9
Generic Cryptominer Traffic Detection,9
Unrecognized Vulnerability Exploit Threat Event,9
Attack Followed by an Attack Response,9
SSL alerts,9
Event pipeline dropped events,9
Apache.Log4j.Error.Log.Remote.Code.Execution - This indicates an attack attempt to exploit a Remote Code Execution Vulnerability in Apache Log4j,9
HTTP OPTIONS Method,9
Possible HTTP Malicious Payload Detection,9
UBA : Potential Lateral Movement,9
Failed Authentication Through Mail Protocol,9
UTM Dropped,9
phpunit Remote Code Execution Vulnerability,9
Multiple Exploit Malware Types Targeting a Single Destination,9
PNG File Chunk Length Abnormal,9
Error Message,9
Fortinet FortiGate IPS Event,9
OpenSSL SSLv2 Man-in-the-Middle Vulnerability,9
Apache HTTP Server Path Traversal Vulnerability,9
UBA : User Access from Restricted Location,9
Potential FastJson Deserialization Detection,9
GPON Home Routers Remote Code Execution Vulnerability,9
Citrix SD-WAN Center Unauthenticated Command Injection Vulnerability,9
Laravel.Ignition.Phar.Stream.Wrapper.Insecure.Deserialization - This indicates an attack attempt to exploit an Insecure Deserialization Vulnerability in Ignition which is used in Laravel Framework,9
Suspicious File Downloading Detection,9
ThinkPHP.Controller.Parameter.Remote.Code.Execution - This indicates an attack attempt to exploit a Remote Code Execution Vulnerability in ThinkPHP,9
Fastjson Shiro Deserialization Vulnerability,9
Webmin rpc.cgi Remote Code Execution Vulnerability,9
Apache CouchDB JSON Remote Privilege Escalation Vulnerability,9
YouPHPTube Encoder Command Injection Vulnerability,9
HTTP Directory Traversal Vulnerability,9
Elastic Elasticsearch Snapshot API Directory Traversal Vulnerability,9
Apache OFBiz CVE-2023-51467 Authentication Bypass,9
OpenMRS Insecure Object Deserialization Remote Code Execution Vulnerability,9
DNS Tunnel Data Infiltration Traffic Detection,9
Ivanti Cloud Service Appliance Client Index Path Traversal,9
HP Universal CMDB Default Credentials Security Bypass Vulnerability,9
Primetek Primefaces Remote Code Execution Vulnerability,9
Bash.Function.Definitions.Remote.Code.Execution - This indicates an attack attempt to exploit a Remote Code Execution vulnerability in Bash,9
Kemp LoadMaster Verify - Permissions Command Injection,9
Rejetto HFS CVE-2024-23692 Server-Side Template Injection (SSTI),9
Spring Framework SerializationUtils Insecure Deserialization,9
OwnCloud Graph API Get Php Information Disclosure,9
Telerik.Web.UI.RadAsyncUpload.Handling.Arbitrary.File.Upload,9
Beijing Grandview Century eHR Software SQL Injection vulnerability,9
Jolokia Agent JNDI Injection Vulnerability,9
Comodo UTM Firewall Web Console Remote Command Execution Vulnerability,9
D-Link DIR-619L Remote Command Execution Vulnerability,9
Pandora FMS Remote Code Execution Vulnerability,9
Zoho ManageEngine OpManager oputilsServlet Authentication Bypass Vulnerability,9
Supervisor XML RPC Command Injection Vulnerability,9
MS.Exchange.Server.ProxyRequestHandler.Remote.Code.Execution - This indicates an attack attempt to exploit a Remote Code Execution in Microsoft Exchange Server,9
Oracle Fusion Middleware Reports Developer File Access Vulnerability,9
D-Link Remote Code Execution Vulnerability,9
Kentico CMS Remote Code Execution Vulnerability,9
Seagate BlackArmor NAS Arbitrary Code Execution Vulnerability,9
FortiOS NodeJS Proxy Authentication Bypass,9
APISIX Admin API Default Token Remote Code Execution,9
Apache Tomcat Remote Code Execution Via JSP Upload Vulnerability,9
Primetek.Primefaces.5.Remote.Code.Execution,9
Revive Adserver Remote Code Execution Vulnerability,9
Oracle Business Intelligence Publisher Security Feature Bypass Vulnerability,9
OEM Presentation Platform Unauthenticated Remote Command Injection Vulnerability,9
Agentejo Cockpit Controller Auth PHP Multiple SQL Injection,9
Pentaho Authentication Bypass Vulnerability,9
NUUO NVRmini2 Arbitrary PHP Code Execution Vulnerability,9
HTTP SQL Injection Attempt,9
OpenDreamBox Remote Command Execution Vulnerability,9
Oracle.WebLogic.Fusion.Middleware.Authentication.Bypass - This indicates an attack attempt to exploit an Authentication Bypass Vulnerability in Oracle WebLogic Server,9
